"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1414089","art theory"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q12554","Middle Ages"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5580","Albrecht D�rer"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q134194","fresco painting"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q8537","Bernardino Luini"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q59945","Jacob Burckhardt"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q12554","Middle Ages"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q593445","Stefano Bardini"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q84564","Julius von Schlosser"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q205148","Filippo Lippi"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q48319","Hans Holbein"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q277466","historicism"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4948","Republic of Venice"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q667276","art exhibition"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q1177671","Davidsohn"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q34184051","photograph collection"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q208145","iconography"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2527217","Lionello Venturi"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q8242","literature"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q161439","jewellery"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3561314","window glass"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q208125","Lorenzo Ghiberti"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q1414089","art theory"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q168496","Carlo Carr�"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q208145","iconography"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q161439","jewellery"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q4948","Republic of Venice"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","Nachlass Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q667276","art exhibition"
