"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q7017","16th century"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q57414113","Joachim von Sandrart"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q8434","education"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5482205","Francis Place"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","https://w3id.org/artchives/MD1598618187338","Amateurism in art"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q12554","Middle Ages"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q2277510","ancient art"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q293106","Properzia de' Rossi"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q6986279","Felice Feliciano"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q855753","miniature book"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598618665850","Nicholas Bacon"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q64607","Wilhelm von Bode"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q57414113","Joachim von Sandrart"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q131808","Mannerism"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1289734","Miniature painting"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","https://w3id.org/artchives/MD1598618937689","Purchard"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7017","16th century"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5482205","Francis Place"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q8434","education"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q211884","Byzantine art"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q37853","Baroque"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q1289734","Miniature painting"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q182046","Leon Battista Alberti"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q855753","miniature book"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q293106","Properzia de' Rossi"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q12554","Middle Ages"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2277510","ancient art"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q182046","Leon Battista Alberti"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q6986279","Felice Feliciano"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","https://w3id.org/artchives/MD1598618491354","M. Sacchetti"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","Nachlass Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q35986","aesthetics"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q551282","Wilhelm Lehmbruck"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Europe--Lake Constance"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Riegl, Alois,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q495110","Andrea Solari"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Art--Historiography"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q153987","University of Freiburg"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Art historians"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Perspective"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Europe"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Solario, Andrea,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Artists' preparatory studies"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Germany"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Cities and towns"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Artists--Psychology"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q170027","University of London"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Vermeer, Johannes,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Delacroix, Eugene,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Sedlmayr, Hans,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Snyders, Frans,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Lithography"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Painters--Psychology"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","England--London"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q165980","University of Vienna"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41554","Nicolas Poussin"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q35548","Paul C�zanne"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41264","Johannes Vermeer"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q55044","Ludwig Maximilian University of Munich"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Painting--Technique"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Badt, Kurt,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Italy--Rome"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Art--Philosophy"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Cezanne, Paul,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Travel"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q100715","Alfons Rosenberg"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Poussin, Nicolas,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Composition (Art)"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Gogh, Vincent van,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Drawing"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5597","Raphael"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Constable, John"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q15989599","Wilhelm V�ge"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","France"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Painting, Flemish"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q156890","Ernst Barlach"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q152087","Humboldt University of Berlin"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Color"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Constable, John,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Artist's studio (Vermeer, Johannes)"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Music"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Veronese,"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Art appreciation"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Space and time in art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Post-impressionism (Art)"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q159297","John Constable"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Painters"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q57656","Erwin Panofsky"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q79084","Hans Sedlmayr"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Italy--Florence"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Painting--Themes, motives"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q33477","Eug�ne Delacroix"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q693591","Kunsthalle Bremen"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Landscape painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Picture interpretation"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q683095","Warburg Institute"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9440","Paolo Veronese"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Clouds in art"
